personalid,ESNights,ES,TransitionalHousing,PH,StreetOutReach,ServicesOnly,Other,SafeHaven,PH-NoDis,HomelessPrev,PHRapid,CoordinatedAsses,Usage Cluster
7927,,,,,,,,,,,,2.0,Very Low Use
7939,53.0,1.0,,,,,,,,,,,Low Use
8004,16.0,1.0,,,,,,,,,,1.0,Very Low Use
8121,5.0,5.0,,,,,,,,,,,Very Low Use
8135,,,,,1.0,,5.0,,,,,1.0,Very Low Use
8141,2.0,2.0,,,,,,,,,,,Very Low Use
8144,,,1.0,,,,,,,,,,Very Low Use
8160,,,1.0,,,,,,,,,,Very Low Use
8162,,,,,,,,,,,,1.0,Very Low Use
8174,74.0,73.0,,,2.0,1.0,,,,,,,Medium Use
8215,,,1.0,,,,1.0,,,,,1.0,Very Low Use
8219,,,,1.0,,,,,,,,,Very Low Use
8244,1.0,1.0,,,,,,,,,,,Very Low Use
8273,,,,,,,1.0,,,,,1.0,Very Low Use
8279,,,,,,,1.0,,,,,,Very Low Use
8287,9.0,9.0,,,,,,,,,,,Very Low Use
8305,,,,,,,,,,,,1.0,Very Low Use
8313,88.0,1.0,,,,,,,,,,1.0,Medium Use
8316,,,,1.0,,,,,,,,,Very Low Use
8361,27.0,3.0,,,,,,,,,,1.0,Low Use
8362,,,,,,,1.0,,,,,1.0,Very Low Use
8367,66.0,2.0,,,,,,,,,,1.0,Low Use
8388,,,,,1.0,,,,,,,1.0,Very Low Use
8396,165.0,4.0,,,,,,,,,,,High Use
8406,,,,,,,1.0,,,,,,Very Low Use
8436,22.0,1.0,,,,,2.0,,,,,1.0,Very Low Use
8496,1.0,1.0,,,,,,,,,,,Very Low Use
8512,72.0,9.0,,,,,,,,,,2.0,Low Use
8513,3.0,2.0,,,,,,,,,,,Very Low Use
8567,,,,,1.0,,1.0,,,,,2.0,Very Low Use
8646,28.0,28.0,,,,,,,,,,1.0,Low Use
8648,,,,,,,,,,,,1.0,Very Low Use
8676,,,,,,1.0,1.0,,,,,,Very Low Use
8690,,,1.0,,,,,,,,,,Very Low Use
8756,,,1.0,,,,,,,,1.0,1.0,Very Low Use
8757,,,1.0,,,,,,,,,,Very Low Use
8759,18.0,4.0,,,,1.0,1.0,,,,,2.0,Very Low Use
