"personalid","projecttype_1_bednights","projecttype_1_count","projecttype_2_count","projecttype_3_count","projecttype_4_count","projecttype_6_count","projecttype_7_count","projecttype_8_count","projecttype_10_count","projecttype_12_count","projecttype_13_count","projecttype_14_count"
11671,23,1,,1,2,,,,,,,1
11700,,,,,,1,,,,,,1
11712,,,,,,,1,,,,,
11718,116,12,,,,,2,,,,1,1
11728,1,1,,,,,1,,,,,1
11753,,,,,,,,,,,1,
11776,68,4,,,,1,,,,,,
11818,5,1,,,,,,,,,,1
11887,1,1,,,,,,,,,,
11894,1,1,,,,,,,,,,
11895,231,227,,,,,,,,,,1
11913,,,,1,,,,,,,,1
11923,2,1,,,1,,,,,,,1
11924,,,,,4,,,,,,,1
11925,2,2,,,,,,,,,,1
11933,,,,,1,,,,,,,
11973,28,2,,,,,,,,,,
12158,,,,1,,,1,,,,,1
12185,,,,,,,1,,,,,
12186,,,,,,,1,,,,,1
12207,,,,,,,1,,,,,
12208,,,1,,,,,,,,,1
12232,42,42,,1,,,,,,,,
12289,115,6,,,,,,,,,1,
12294,,,,1,,,,,,,,
12334,1,1,,,,,,,,,,
12344,25,2,,,,,,,,,,
12401,85,8,,,,,1,,,,,
12427,17,2,,,1,,,,,,,1
12484,,,,1,,,,,,,,1
12495,,,,,,,1,,,,,
12524,,,,,1,,1,,,,,1
12574,21,1,,,,1,,,,,,1
12590,37,1,,,,1,2,,,,,
12597,,,,,,,1,,,,,
12609,,,,,,,,,,,,1
12714,,,,,,,1,,,,,
12771,,,,,,,1,,,,,
12785,77,4,,,1,,3,,,,,1
12794,,,,,,,,,,,,1
12824,,,,,1,,,,,,,1
12853,4,1,,,,,1,,,,,1
12867,,,,,,,1,,,,,
12907,,,,,1,,,,,,,
12927,,,,,,1,,,,,,
12977,,,,,,,,,,,,1
12984,,,,,,,,,,,,1
12985,,,,,,,,,,,,1
13025,,,,,,,1,,,,,
13038,1,1,,,,,,,,,,
13042,,,,,1,,,,,,,
13063,,,,,,,,,,,,1
13111,,,,,,1,1,,,,,
13117,,,1,,,,1,,,,1,2
13166,,,,,,1,,,,,,
13177,,,,1,,,,,,,,
13179,,,,1,,,,,,,,
13180,,,,1,,,,,,,,
13195,47,1,,,,,,,,,,1
13234,,,,,,,,,,,,1
13291,,,,,,,1,,,,,
13293,96,3,1,,,1,,,,1,,1
13342,33,1,,,1,,,,,,,1
13351,1,1,,,3,,,,,,,1
13360,14,1,,,,,,,,,,1
13395,73,1,,,,,,,,,,1
13432,,,,,5,1,2,1,,,,1
13456,86,1,,,,,,,,,,
13466,35,2,,,4,,,,,,1,2
13512,,,,,,1,1,,,,,1
13537,67,12,,,,,,,,,,3
13583,,,,,1,,,,,,,
13585,8,1,,1,1,,,,,,,1
13609,,,,,1,,,,,,,
13682,1,1,,,,,,,,,,
13683,280,250,,,,,1,,,,,1
13726,1,1,,,,,,,,,,
13728,,,,,,1,,,,,,
13794,57,56,,,,,1,,,,,1
13842,,,,,,,4,,,,,1
13853,,,,,1,,,,,,,
13854,7,3,,1,1,,,,,,,
13875,,,,1,,,,,,,,
13879,,,,,,,1,,,,,
13899,,,,,,,2,,,,,
13918,1,1,,,,1,,,,,,
13966,28,1,,,,,,,,,1,1
13971,27,27,,,,,2,,,,,
14070,,,,1,,1,,,,,,1
14086,,,,,,,1,,,,,
14115,78,2,,,,2,,,,,1,1
14159,49,1,,,,,,,,,1,
14175,,,,,,,1,,,,,
14238,6,6,,1,,,1,,,,,
14242,12,1,,,,,,,,,,1
14243,16,2,,,2,,1,,,,,1
14276,,,,,,,2,,,,,2
14321,91,1,,,,1,,,,,,1
14331,58,42,,,1,,3,,,,,1
14376,,,,,1,1,,,,,,1
14377,6,5,,,1,,,,,,,
14384,,,,,2,,,,,,,1
14409,,,,,,,2,,,,,
14453,246,196,,,,1,,,,,,1
14537,15,3,,1,2,2,3,,,,,1
14566,,,,,,,,,,,,1
14609,68,1,,,2,,,,,,1,
14677,37,2,,,,,2,,,,,1
14697,,,,,,,,,,,,1
14719,,,,,,,1,,,,,1
14795,4,1,,1,,,,,,,,1
14796,,,,,,,1,,,,,1
14804,1,1,,,1,,,,,,,1
14806,,,,,1,,1,,,,,1
14826,28,28,,,,,1,,,,,1
14891,2,2,,,1,,1,,,,,1
14899,8,8,,,,,,,,,,2
14910,48,1,,,,,,,,,,
14988,,,,,,,,,,,,1
15001,,,,,,,,,,,,1
15007,,,,,,,1,,,,,
15015,60,6,,,1,2,1,,,,,
15027,72,2,,,,,,,,,,1
15034,135,8,,,,,,,,,,1
15078,,,,1,,,,,,,,
15097,86,2,,,,1,1,,,,,2
15101,22,1,,,2,,1,,,,,1
15122,4,1,,,1,,,,,,,1
15207,151,2,,1,,2,1,,,,,2
15235,,,,,,,2,,,,,2
15330,,,,,,,1,,,,,
15353,,,,,,,1,,,,,
15401,5,2,,,,,,,,,,2
15415,9,1,,,,,1,,,,,1
15416,47,2,,,,,,,,,,1
15458,,,,,1,,,,,,,
15473,,,,,,,1,,,,,1
15475,,,,,,,,,,,,1
15478,52,1,,,,,,,,,1,1
15504,1,1,,,1,,,,,,,1
15509,,,,,1,,,,,,,
15510,8,7,,,4,,2,,,,,
15512,24,1,,,,,,,,,,1
15523,100,90,,,,,2,,,,,1
15531,1,1,,,,,,,,,,1
15564,29,1,,,,,,,,,,1
15575,111,1,,,,,1,,,,1,1
15577,111,1,,,,,1,,,,1,1
15586,,,,,,,,,,,,1
15618,9,9,,,,1,,,,,,
15692,,,,,,,,,,,,2
15706,1,1,,,,,,,,,,
15729,,,,1,,,,,,,,
15803,18,4,,,1,,,,,,,1
15832,58,9,,,,1,,,,,,1
15841,,,,,,,,,,,,1
15886,81,7,,,,1,,,,,,2
15888,,,,,1,,,,,,,
15925,21,3,,,1,,2,,,,,3
15949,,,1,,,,,,,,,
15952,6,1,,,,,1,,,,,
15986,5,2,,,,,1,,,,,1
16028,,,,,,,1,,,,,1
16043,,,,,,,,,,,1,1
16093,,,,1,,,,,,,,1
